Organization Name,Money Raised,Money Raised Currency,Announced Date
Buzzoole,"0,18",EUR,12-Nov-2013
Buzzoole,"0,48",EUR,23-Jul-2015
Buzzoole,"8,56",EUR,05-Dec-2018
Buzzoole,"2,00",EUR,05-Nov-2019
DoveConviene,,EUR,01-Jan-2010
DoveConviene,"3,50",EUR,01-Jul-2013
DoveConviene,"5,20",EUR,03-Dec-2014
DoveConviene,"10,00",EUR,24-Sep-2015
Milkman,"0,08",EUR,01-Dec-2015
Milkman,"0,18",EUR,01-Mar-2016
Milkman,"1,05",EUR,12-Jul-2016
Milkman,"6,40",EUR,02-Oct-2018
Supermercato24,"0,16",EUR,07-Jan-2015
Supermercato24,"0,36",EUR,22-Jan-2015
Supermercato24,"3,00",EUR,18-Jul-2016
Supermercato24,"0,32",EUR,06-Feb-2017
Supermercato24,"13,00",EUR,21-Jun-2018
Supermercato24,"11,00",EUR,31-Jan-2020
Tannico,,EUR,12-Dec-2013
Tannico,"3,80",EUR,03-Oct-2016
Tannico,"1,50",EUR,06-May-2015
Tannico,"2,50",EUR,09-Apr-2018
Tannico,"0,20",EUR,
